Step 1,Step 2,Step 3,Step 4,Link,Size,t,Path,Min or Max,Month/Year
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2.25,15,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-2,16,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1.75,17,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1.5,18,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1.25,19,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-1,20,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-0.75,21,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-0.5,22,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,-0.25,23,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0,24,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0.25,25,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0.5,26,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,0.75,27,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1,28,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1.25,29,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1.5,30,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,1.75,31,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2,32,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2.25,33,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2.5,34,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,2.75,35,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3,36,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3.25,37,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3.5,38,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,3.75,39,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4,40,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4.25,41,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4.5,42,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4.75,43,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5,44,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5.25,45,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5.5,46,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5.75,47,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,6,48,Min,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,6,49,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5.75,50,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5.5,51,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5.25,52,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,5,53,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4.75,54,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4.5,55,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4.25,56,Max,Month
,Exsisting Customers,Skiped stage,Qualified/Booked,link,10,4,57,Max,Month
